Nb,Ta,V,Cr,Mo,Ti,W,Tm_avg_K
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,3290.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2896.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3695.0
0.3106701940035275,0.0,0.6893298059964725,0.0,0.0,0.0,0.0,2359.1500000000005
0.31429824561403524,0.0,0.0,0.6857017543859647,0.0,0.0,0.0,2359.15
0.5168726823238567,0.0,0.0,0.0,0.0,0.48312731767614325,0.0,2359.15
0.0,0.1591237579042458,0.8408762420957542,0.0,0.0,0.0,0.0,2359.15
0.0,0.16139639639639647,0.0,0.8386036036036035,0.0,0.0,0.0,2359.15
0.0,0.3099703484062269,0.0,0.0,0.0,0.6900296515937732,0.0,2359.15
0.0,0.0,0.7529453015427768,0.0,0.24705469845722317,0.0,0.0,2359.15
0.0,0.0,0.8834986772486771,0.0,0.0,0.0,0.11650132275132286,2359.15
0.0,0.0,0.0,0.749790502793296,0.25020949720670405,0.0,0.0,2359.15
0.0,0.0,0.0,0.8817491749174917,0.0,0.0,0.11825082508250828,2359.15
0.0,0.0,0.0,0.0,0.43785340314136134,0.5621465968586387,0.0,2359.15
0.0,0.0,0.0,0.0,0.0,0.7616020524515393,0.23839794754846066,2359.15
