Nb,Ta,V,Cr,Mo,Ti,W,V_avgr,density
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8.57
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37,6.11
0.5975232198142415,0.0,0.0,0.4024767801857585,0.0,0.0,0.0,0.3235294117647059,7.998482972136223
0.04411764705882364,0.0,0.0,0.0,0.0,0.9558823529411764,0.0,0.3235294117647059,4.685294117647059
0.0,0.17647058823529443,0.0,0.0,0.0,0.8235294117647056,0.0,0.3235294117647059,6.656117647058828
0.0,0.0,0.7095588235294119,0.2904411764705881,0.0,0.0,0.0,0.3235294117647059,6.412058823529412
0.0,0.0,0.22549019607843168,0.0,0.7745098039215683,0.0,0.0,0.3235294117647059,9.33970588235294
0.0,0.0,0.07058823529411785,0.0,0.0,0.9294117647058822,0.0,0.32352941176470595,4.619223529411766
0.8854679802955665,0.1145320197044335,0.0,0.0,0.0,0.0,0.0,0.39312807881773404,9.5
0.45614035087719285,0.0,0.0,0.0,0.5438596491228072,0.0,0.0,0.35105263157894734,9.5
0.9129213483146068,0.0,0.0,0.0,0.0,0.0,0.0870786516853932,0.3895505617977528,9.5
0.0,0.3204158790170131,0.6795841209829869,0.0,0.0,0.0,0.0,0.3603875236294896,9.5
0.0,0.40988181221273795,0.0,0.0,0.0,0.5901181877872621,0.0,0.3281976362442548,9.5
0.0,0.0,0.7420091324200913,0.0,0.0,0.0,0.25799086757990874,0.3467808219178082,9.500000000000002
0.47762321144674086,0.1752384737678855,0.0,0.3471383147853736,0.0,0.0,0.0,0.32352941176470584,9.5
0.03526823270562402,0.0,0.1725878470199958,0.0,0.7921439202743802,0.0,0.0,0.3235294117647059,9.5
0.26584285138840186,0.0,0.0,0.10396444860250238,0.6301927000090958,0.0,0.0,0.3235294117647059,9.5
0.5497389899767872,0.0,0.0,0.32056095760726555,0.0,0.0,0.1297000524159473,0.3235294117647059,9.5
0.13992125025750532,0.0,0.0,0.0,0.7664288255894526,0.09364992415304216,0.0,0.3235294117647059,9.5
0.18761746472551838,0.0,0.0,0.0,0.0,0.5253828999410922,0.2869996353333894,0.32352941176470595,9.5
0.0,0.297346285649551,0.46796496643915164,0.23468874791129743,0.0,0.0,0.0,0.32352941176470595,9.5
0.0,0.01886923103555733,0.21605558056065285,0.0,0.7650751884037899,0.0,0.0,0.3235294117647059,9.5
0.0,0.40102199717603815,0.0,0.04082752889831718,0.0,0.5581504739256448,0.0,0.3235294117647059,9.5
0.0,0.2963038240747165,0.0,0.0,0.23966647167884547,0.4640297042464381,0.0,0.3235294117647059,9.5
0.0,0.32189308531757954,0.0,0.0,0.0,0.6053956661412777,0.07271124854114283,0.32352941176470595,9.5
0.0,0.0,0.6019543420713567,0.15209255745308878,0.0,0.0,0.2459531004755546,0.3235294117647059,9.5
0.0,0.0,0.23713101798453567,0.0,0.7395873382032554,0.0,0.023281643812208926,0.32352941176470584,9.5
0.0,0.0,0.3142128968988018,0.0,0.0,0.3812562760953435,0.3045308270058547,0.3235294117647059,9.5
